IDA Count,INVA Count,AND2 Count,OR2 Count,XOR2 Count,NAND2 Count,NOR2 Count,XNOR2 Count
3,1,157,48,95,0,0,0
0,0,162,48,100,0,0,0
20,9,197,67,108,8,6,6
0,0,157,47,103,0,0,0
0,0,156,49,95,0,1,0
5,11,176,55,105,3,4,6
2,0,166,51,100,0,0,0
0,0,164,48,98,0,1,0
7,6,185,59,104,4,3,4
2,6,167,54,98,0,0,0
8,10,171,55,101,6,2,9
18,8,179,55,106,7,2,7
22,14,185,63,109,5,10,10
2,0,158,48,102,0,0,0
19,9,191,73,109,6,4,11
1,5,164,52,98,0,2,0
24,3,191,79,104,5,7,9
0,4,166,54,100,2,0,0
0,0,160,48,100,0,1,1
0,1,160,48,99,0,0,0
20,8,190,68,109,9,9,8
2,2,155,49,102,1,0,0
0,0,163,48,100,0,0,0
14,6,172,57,104,3,7,4
12,6,174,57,111,5,5,4
2,0,164,48,99,0,0,0
6,8,187,60,107,1,2,6
2,0,164,48,100,0,0,0
8,7,184,61,105,4,1,1
0,0,162,50,97,0,1,1
1,1,161,49,97,0,1,0
0,0,162,49,98,0,0,0
26,9,190,68,102,6,10,4
8,8,185,61,105,3,1,1
1,0,165,50,100,0,0,0
0,0,162,48,98,0,0,0
1,0,163,49,97,0,1,0
18,9,191,76,105,8,8,9
4,7,188,60,106,2,2,1
2,0,172,49,105,0,0,0
0,0,163,50,99,0,0,1
0,0,163,49,99,0,0,0
6,7,184,60,106,0,1,2
3,5,169,56,98,0,0,0
0,0,161,50,97,0,0,0
2,0,160,50,96,0,0,0
13,4,182,66,107,15,15,12
4,6,186,60,108,1,3,2
1,0,164,48,101,0,0,0
0,1,158,47,99,0,0,0
0,4,167,52,101,1,1,1
2,1,159,47,98,0,0,0
0,5,171,53,104,0,0,0
0,4,167,54,99,0,0,0
0,0,159,47,101,0,0,0
2,1,157,47,96,1,0,0
1,0,160,48,100,0,0,0
1,0,164,48,102,0,0,0
0,0,158,45,103,0,0,0
0,0,164,47,103,0,0,0
1,0,165,49,101,0,0,0
0,1,158,48,99,0,0,0
8,9,176,61,102,4,5,6
0,0,164,48,102,0,0,0
20,8,191,68,106,10,6,5
0,0,164,47,102,0,0,0
1,0,158,51,97,0,1,0
8,7,173,54,107,9,3,6
3,0,162,49,98,0,0,0
21,14,189,67,110,5,8,4
1,0,163,49,98,0,0,0
10,11,179,57,103,2,2,3
2,0,158,50,94,2,0,0
1,1,155,50,93,2,0,1
0,0,166,48,102,1,0,0
1,4,166,54,101,0,0,0
18,18,189,64,112,12,7,10
14,12,175,56,105,6,2,5
1,0,167,49,102,0,0,0
12,10,175,54,103,5,3,5
3,0,162,47,101,1,0,1
2,5,169,53,99,0,0,1
0,4,167,53,101,0,0,1
1,5,169,53,102,0,0,0
0,4,170,53,103,0,0,0
1,4,165,54,100,2,0,1
0,0,160,48,99,0,0,1
3,0,155,52,94,1,0,0
17,8,191,71,105,9,7,6
6,8,185,63,107,1,1,1
1,4,168,53,101,0,0,0
19,6,187,67,112,9,9,11
11,7,188,60,104,1,1,3
10,4,178,60,103,3,5,6
0,4,169,52,105,1,0,0
14,7,175,55,99,5,5,5
1,3,169,51,102,0,0,1
1,0,158,47,102,1,0,0
7,12,181,57,103,9,3,3
0,4,170,53,102,0,0,0
0,0,162,47,102,0,0,1
1,3,165,52,101,0,1,0
1,3,166,50,102,0,0,2
0,4,174,53,103,0,0,0
31,6,183,66,110,12,7,10
2,4,163,52,103,0,1,0
2,4,166,52,100,0,0,0
2,4,165,54,97,1,0,1
0,0,161,48,102,0,0,0
25,14,188,66,110,8,7,6
9,9,184,60,104,2,3,2
3,1,163,49,100,0,0,1
1,3,162,50,102,2,1,1
24,12,188,63,115,7,13,9
3,3,162,51,99,2,0,0
0,0,164,48,101,0,0,0
9,8,174,59,106,8,3,7
6,7,178,59,109,3,6,2
0,0,164,48,102,0,0,0
17,14,180,64,109,8,12,12
7,8,180,55,101,5,4,6
20,14,183,65,113,9,8,9
1,5,165,54,101,0,0,0
0,4,167,52,103,1,0,0
0,0,159,49,101,1,0,0
2,0,165,48,103,0,0,1
15,11,176,63,114,10,16,16
10,12,170,53,99,3,7,8
2,3,163,53,98,1,0,1
11,10,175,61,106,3,3,8
9,9,175,59,104,10,2,5
0,6,164,53,96,1,0,1
0,0,158,50,98,1,0,0
1,0,157,49,96,3,0,2
2,3,162,54,97,1,1,3
3,0,162,47,101,1,1,1
31,11,182,61,109,11,11,10
11,9,174,52,103,3,5,7
27,11,181,66,112,14,7,11
22,6,181,63,109,15,14,11
27,7,185,62,113,10,11,7
17,14,183,65,110,14,17,10
11,5,175,56,104,9,7,2
1,0,167,48,103,0,0,0
28,12,180,68,112,13,3,8
7,13,180,58,104,4,4,4
11,7,179,53,108,6,2,4
0,1,164,48,99,1,0,0
0,5,166,52,102,0,0,1
1,0,160,49,98,0,0,0
0,4,168,54,99,0,0,1
2,1,156,50,97,1,0,0
2,0,158,47,99,1,0,0
10,6,186,63,106,1,0,1
17,10,171,54,104,3,3,4
0,0,162,47,103,0,0,0
26,12,180,64,113,13,4,13
0,5,167,53,100,1,0,0
0,0,157,49,100,0,0,1
1,5,170,54,98,0,0,1
0,0,161,50,97,0,0,0
16,7,198,68,107,8,9,5
11,7,184,61,106,0,2,1
1,0,165,49,101,0,0,0
0,4,169,54,98,0,0,0
1,0,162,48,100,0,0,0
18,6,195,73,106,6,7,6
0,0,166,49,101,0,0,0
1,5,169,54,98,1,1,2
0,0,161,50,97,1,0,0
20,4,191,72,111,7,9,9
0,4,169,54,100,0,0,0
0,0,162,50,97,1,0,0
19,6,196,67,114,10,6,6
1,5,169,54,99,0,0,4
0,0,162,49,97,0,0,1
0,1,161,49,96,0,0,0
25,11,184,67,113,15,6,11
4,10,183,58,111,0,3,2
0,0,165,48,101,0,0,0
0,8,165,55,97,1,0,0
20,8,187,62,118,7,12,13
10,8,177,55,104,5,3,7
4,3,159,51,98,1,2,1
2,4,159,52,98,0,0,1
2,4,166,52,98,1,0,1
1,3,165,51,103,0,0,0
0,0,158,47,103,0,0,0
10,10,171,57,104,5,4,6
11,11,173,60,102,5,3,7
2,0,154,46,97,1,1,0
24,11,185,61,111,4,10,11
2,5,163,54,95,0,1,1
2,0,157,48,95,1,0,0
0,0,161,48,101,0,0,0
0,3,166,53,100,0,0,1
25,8,180,71,111,15,10,9
2,5,162,49,101,1,0,0
24,10,180,68,117,9,14,10
11,6,176,52,102,5,5,9
20,9,181,66,118,11,11,15
0,4,171,51,104,0,0,1
2,0,157,48,94,0,0,0
10,8,175,57,111,7,0,10
0,0,166,48,102,0,0,1
0,4,170,53,101,0,0,1
22,11,186,63,113,9,11,13
11,7,169,56,103,4,7,4
18,11,172,57,105,3,4,6
0,0,158,50,98,1,1,0
1,0,161,48,99,0,0,0
3,4,165,51,101,1,1,0
2,0,157,48,97,0,1,0
16,13,185,62,111,7,14,12
4,0,166,46,102,0,0,1
0,0,158,48,97,0,0,1
1,0,160,49,96,0,0,0
8,9,180,60,108,3,5,4
0,4,166,54,101,2,0,0
10,5,176,59,105,6,7,7
28,16,190,65,106,8,8,10
0,0,166,48,101,0,0,0
0,0,162,47,101,0,0,0
3,0,160,48,98,1,1,3
2,0,155,49,96,0,0,1
0,3,167,51,101,0,1,0
23,6,182,62,116,11,9,13
7,9,178,59,107,1,3,3
16,12,186,66,111,12,8,14
8,11,172,60,108,4,5,4
0,0,158,46,101,0,1,0
26,10,182,64,114,7,8,11
32,15,176,63,108,9,13,14
0,0,165,47,102,0,0,0
25,14,188,58,114,11,12,7
17,21,179,59,116,5,10,14
11,13,170,52,104,6,7,5
1,4,168,53,102,1,0,0
0,0,160,48,97,0,0,0
20,12,187,68,104,3,5,14
14,8,172,63,103,8,4,5
30,7,177,64,112,7,17,13
4,4,161,50,97,0,0,1
2,3,159,49,99,1,2,0
27,13,180,61,112,5,12,9
7,6,183,62,102,1,1,1
1,4,162,52,98,0,2,0
1,4,168,53,99,1,0,1
1,0,159,49,96,0,0,1
1,0,160,49,96,0,0,2
14,9,186,71,110,7,14,6
1,0,164,48,101,0,0,0
1,4,168,53,98,0,0,0
1,0,159,48,96,0,0,1
1,1,159,48,96,0,1,0
20,14,187,67,108,3,11,9
0,0,163,48,100,0,0,0
1,5,167,53,97,0,2,1
2,0,159,49,96,1,0,0
0,0,161,49,99,0,0,0
18,5,196,67,107,6,3,8
0,0,164,48,100,0,0,0
2,4,167,54,98,1,0,0
2,0,163,49,99,0,0,1
21,10,190,70,113,7,6,4
1,0,164,48,101,0,0,0
1,6,167,53,97,1,0,0
1,1,159,48,96,0,0,1
1,0,160,49,96,0,0,0
17,10,187,68,110,9,9,7
10,7,180,61,106,2,1,2
1,0,163,48,99,1,0,0
6,10,178,56,107,6,4,6
2,0,159,48,100,0,0,1
5,11,185,59,107,1,0,1
2,4,167,53,100,0,0,0
1,0,159,48,99,0,0,0
1,0,162,48,100,0,0,0
10,9,181,59,108,3,2,3
1,0,164,48,100,0,0,0
0,0,154,46,103,0,0,0
0,0,164,48,99,1,0,1
19,10,179,66,113,10,10,7
20,11,195,62,113,8,9,9
