Name,IDA Count,INVA Count,AND2 Count,OR2 Count,XOR2 Count,NAND2 Count,NOR2 Count,XNOR2 Count,Count of Used Gates,Compressed Chr Size,a XOR b XOR c XOR d Count,(a AND b) XOR (c AND d) Count,Variability of Implementation of the Highest Bit of Product,"[Sum of All Gates, Sum of Used Gates by CGP]"
mult8_cgp14ep_ep13107_wc1408_wtmcla,20,12,179,61,110,17,11,12,422,2914,74,40,"[0, 0, 8, 5, 1, 0, 0, 0]","[490, 422]"
mult8_cgp14ep_ep13107_wc140_wtmcla,20,9,197,67,108,8,6,6,421,2883,73,40,"[0, 0, 12, 8, 1, 0, 0, 0]","[490, 421]"
mult8_cgp14ep_ep13107_wc1444_wtmcla,22,14,185,63,109,5,10,10,418,2928,70,40,"[0, 0, 9, 5, 1, 0, 0, 0]","[490, 418]"
mult8_cgp14ep_ep13107_wc1448_wtmcla,19,9,191,73,109,6,4,11,422,2922,70,38,"[0, 0, 8, 4, 1, 0, 0, 0]","[490, 422]"
mult8_cgp14ep_ep13107_wc144_2_wtmcla,24,3,191,79,104,5,7,9,422,2900,73,38,"[0, 0, 8, 3, 1, 0, 0, 0]","[490, 422]"
mult8_cgp14ep_ep13107_wc144_wtmcla,20,8,190,68,109,9,9,8,421,2896,76,40,"[0, 0, 9, 5, 1, 0, 0, 0]","[490, 421]"
mult8_cgp14ep_ep13107_wc14_2_wtmcla,26,9,190,68,102,6,10,4,415,2878,76,34,"[0, 0, 12, 8, 1, 0, 0, 0]","[490, 415]"
mult8_cgp14ep_ep13107_wc14_3_wtmcla,18,9,191,76,105,8,8,9,424,2898,79,34,"[0, 0, 12, 8, 1, 0, 0, 0]","[490, 424]"
mult8_cgp14ep_ep13107_wc14_wtmcla,13,4,182,66,107,15,15,12,414,2920,76,36,"[0, 0, 6, 4, 5, 0, 0, 0]","[490, 414]"
mult8_cgp14ep_ep13107_wc154_wtmcla,20,8,191,68,106,10,6,5,414,2899,70,38,"[0, 0, 12, 7, 1, 0, 0, 0]","[490, 414]"
mult8_cgp14ep_ep13107_wc156_wtmcla,21,14,189,67,110,5,8,4,418,2881,74,34,"[0, 0, 9, 5, 1, 0, 0, 0]","[490, 418]"
mult8_cgp14ep_ep13107_wc1600_wtmcla,18,18,189,64,112,12,7,10,430,2902,74,40,"[0, 0, 12, 8, 1, 0, 0, 0]","[490, 430]"
mult8_cgp14ep_ep13107_wc160_wtmcla,17,8,191,71,105,9,7,6,414,2890,76,38,"[0, 0, 9, 1, 5, 0, 0, 0]","[490, 414]"
